Episode,Score,Success,Fish,Difficulty,Behavior,Episode_Length,Epsilon,Win_Streak,Avg_Score_100,Win_Rate_100,Easy_Success_Rate,Medium_Success_Rate,Hard_Success_Rate
1,-11.23,0,Carp,15,mixed,167,0.2000,0,-11.23,0.0,0.0,0.0,0.0
2,-17.40,0,Perch,35,dart,222,0.2000,0,-14.31,0.0,0.0,0.0,0.0
3,-19.91,0,Bream,35,smooth,300,0.2000,0,-16.18,0.0,0.0,0.0,0.0
4,-18.33,0,Anchovy,30,dart,190,0.2000,0,-16.72,0.0,0.0,0.0,0.0
5,-19.03,0,Sunfish,30,mixed,177,0.2000,0,-17.18,0.0,0.0,0.0,0.0
6,-18.17,0,Sardine,30,dart,167,0.2000,0,-17.34,0.0,0.0,0.0,0.0
7,-16.31,0,Anchovy,30,dart,222,0.2000,0,-17.20,0.0,0.0,0.0,0.0
8,-8.27,0,Chub,35,dart,419,0.2000,0,-16.08,0.0,0.0,0.0,0.0
9,-10.13,0,Carp,15,mixed,189,0.2000,0,-15.42,0.0,0.0,0.0,0.0
10,-5.32,0,Anchovy,30,dart,362,0.2000,0,-14.41,0.0,0.0,0.0,0.0
11,-13.71,0,Herring,25,dart,197,0.2000,0,-14.35,0.0,0.0,0.0,0.0
12,-9.99,0,Carp,15,mixed,195,0.2000,0,-13.98,0.0,0.0,0.0,0.0
13,3.13,0,Sardine,30,dart,564,0.2000,0,-12.67,7.7,0.0,0.0,0.0
14,-11.76,0,Smallmouth Bass,28,mixed,267,0.2000,0,-12.60,7.1,0.0,0.0,0.0
15,-10.22,0,Carp,15,mixed,204,0.2000,0,-12.44,6.7,0.0,0.0,0.0
16,-14.11,0,Sunfish,30,mixed,209,0.2000,0,-12.55,6.2,0.0,0.0,0.0
17,-10.71,0,Carp,15,mixed,167,0.2000,0,-12.44,5.9,0.0,0.0,0.0
18,-13.11,0,Smallmouth Bass,28,mixed,222,0.2000,0,-12.48,5.6,0.0,0.0,0.0
19,-10.86,0,Carp,15,mixed,167,0.2000,0,-12.39,5.3,0.0,0.0,0.0
20,-16.67,0,Sardine,30,dart,185,0.2000,0,-12.61,5.0,0.0,0.0,0.0
