Episode,Score,Success,Fish,Difficulty,Behavior,Episode_Length,Epsilon,Win_Streak,Avg_Score_100,Win_Rate_100,Easy_Success_Rate,Medium_Success_Rate,Hard_Success_Rate,Shortest_Catch,Behaviors_Discovered,Sinker_Rate,Dart_Rate,Smooth_Rate,Mixed_Rate,Floater_Rate
1,-17.59,0,Sardine,31,dart,167,0.0500,0,-17.59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2,-17.26,0,Sea Cucumber,36,sinker,205,0.0500,0,-17.42,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
3,-22.52,0,Sea Cucumber,43,sinker,167,0.0500,0,-19.12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
4,-20.70,0,Sea Cucumber,39,sinker,204,0.0500,0,-19.52,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
5,-16.57,0,Sea Cucumber,41,sinker,234,0.0500,0,-18.93,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
6,-17.18,0,Anchovy,28,dart,167,0.0500,0,-18.64,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
7,-16.10,0,Sea Cucumber,39,sinker,229,0.0500,0,-18.27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
8,-13.30,0,Bream,35,smooth,230,0.0500,0,-17.65,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
9,-20.15,0,Sea Cucumber,41,sinker,199,0.0500,0,-17.93,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
10,-19.25,0,Sea Cucumber,36,sinker,167,0.0500,0,-18.06,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
11,-7.43,0,White Algae,5,floater,167,0.0500,0,-17.10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
12,-16.76,0,Sea Cucumber,37,sinker,204,0.0500,0,-17.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
13,-19.29,0,Red Snapper,39,mixed,199,0.0500,0,-17.24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
14,-20.51,0,Bream,35,smooth,235,0.0500,0,-17.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
15,-14.45,0,Sea Cucumber,41,sinker,309,0.0500,0,-17.27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
16,-19.35,0,Chub,36,dart,260,0.0500,0,-17.40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
17,-13.59,0,Smallmouth Bass,25,mixed,234,0.0500,0,-17.18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
18,-2.83,0,White Algae,5,floater,467,0.0500,0,-16.38,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
19,-16.72,0,Perch,31,dart,197,0.0500,0,-16.40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
20,-17.81,0,Bream,34,smooth,167,0.0500,0,-16.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
21,-18.98,0,Sea Cucumber,38,sinker,235,0.0500,0,-16.59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
22,-18.34,0,Anchovy,31,dart,220,0.0500,0,-16.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
23,-10.78,0,Smallmouth Bass,27,mixed,289,0.0500,0,-16.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
24,-13.88,0,Sea Cucumber,40,sinker,355,0.0500,0,-16.31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
25,7.06,0,Chub,34,dart,559,0.0500,0,-15.37,4.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
26,-16.20,0,Bream,33,smooth,302,0.0500,0,-15.40,3.8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
27,-17.55,0,Bream,33,smooth,229,0.0500,0,-15.48,3.7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
28,-19.57,0,Chub,35,dart,167,0.0500,0,-15.63,3.6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
29,-21.03,0,Sea Cucumber,43,sinker,255,0.0500,0,-15.81,3.4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
30,-6.01,0,White Algae,4,floater,377,0.0500,0,-15.49,3.3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
31,-20.34,0,Bream,37,smooth,167,0.0500,0,-15.64,3.2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
32,-19.20,0,Sardine,32,dart,240,0.0500,0,-15.76,3.1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
33,-17.84,0,Anchovy,32,dart,244,0.0500,0,-15.82,3.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
34,-6.48,0,Seaweed,5,floater,264,0.0500,0,-15.54,2.9,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
35,-19.32,0,Bream,37,smooth,167,0.0500,0,-15.65,2.9,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
36,-13.77,0,Sea Cucumber,37,sinker,270,0.0500,0,-15.60,2.8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
37,-17.48,0,Sardine,28,dart,167,0.0500,0,-15.65,2.7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
38,-12.03,0,Herring,26,dart,254,0.0500,0,-15.55,2.6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
39,116.88,1,Sea Cucumber,38,sinker,715,0.0500,1,-12.16,5.1,2.9,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
40,-7.14,0,Seaweed,4,floater,195,0.0500,0,-12.03,5.0,2.9,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
41,-15.60,0,Sunfish,29,mixed,167,0.0500,0,-12.12,4.9,2.8,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
42,-10.50,0,Smallmouth Bass,30,mixed,287,0.0500,0,-12.08,4.8,2.7,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
43,-15.13,0,Red Snapper,37,mixed,222,0.0500,0,-12.15,4.7,2.6,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
44,-18.19,0,Bream,35,smooth,167,0.0500,0,-12.29,4.5,2.6,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
45,-17.16,0,Sardine,29,dart,167,0.0500,0,-12.40,4.4,2.5,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
46,-0.63,0,White Algae,5,floater,680,0.0500,0,-12.14,4.3,2.4,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
47,-17.53,0,Chub,34,dart,167,0.0500,0,-12.26,4.3,2.4,0.0,0.0,715,1,7.1,0.0,0.0,0.0,0.0
